year,month,day,variety,lte,site,meanC,date
2012,Nov,1,Cabernet Franc,-13.7,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Cabernet Sauvignon,-12,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,1,Cabernet Sauvignon,-13.5,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,1,Merlot,-14.6,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,1,Merlot,-12,Black Sage,7.5,2012-11-01
2012,Nov,1,Pinot blanc,-15.4,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Chardonnay,-17.5,"OK Falls, east",7.5,2012-11-01
2012,Nov,1,Chardonnay,-17.3,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Gewurztraminer,-15.5,"OK Falls, west",7.5,2012-11-01
2012,Nov,1,Gewurztraminer,-14,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Riesling,-16.1,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Sauvignon blanc,-14.5,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Sauvignon blanc,-14.2,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Pinot gris,-14,"OK Falls, east",7.5,2012-11-01
2012,Nov,1,Pinot gris,-15.3,"Oliver, east",7.5,2012-11-01
2012,Nov,1,Pinot noir,-15.6,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,1,Shiraz,-11.8,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,1,Shiraz,-12.4,"Osoyoos, northeast",7.5,2012-11-01
2012,Nov,14,Cabernet Sauvignon,-17.8,Black Sage,5.1,2012-11-14
2012,Nov,14,Chardonnay,-21.4,"Osoyoos, southeast ",5.1,2012-11-14
2012,Nov,14,Chardonnay,-19,Black Sage,5.1,2012-11-14
2012,Nov,14,Chardonnay,-18.8,Naramata Bench,5.1,2012-11-14
2012,Nov,14,Chardonnay,-21.7,"OK Falls, east",5.1,2012-11-14
2012,Nov,14,Chardonnay,-21.5,"Oliver, east",5.1,2012-11-14
2012,Nov,14,Gewurztraminer,-20.7,"OK Falls, west",5.1,2012-11-14
2012,Nov,14,Pinot blanc,-19.6,Black Sage,5.1,2012-11-14
2012,Nov,14,Pinot blanc,-20.8,"Oliver, east",5.1,2012-11-14
