"","Variety","Year","Phenophase","DOY","SDev"
"1","Cabernet-Sauvignon",2014,"BB",83.5544554455446,NA
"2","Chardonnay",2014,"BB",65.9660138248849,2.83087104219265
"3","Chasselas",2014,"BB",77.8502202643172,NA
"4","Merlot",2014,"BB",66.0819435360802,8.12297971466071
"5","Mourvedre",2014,"BB",80.560950975648,2.8790730524823
"6","Pinot noir",2014,"BB",47.7228915662653,NA
"7","Riesling",2014,"BB",71.6255144032922,NA
"8","Sauvignon blanc",2014,"BB",83.5709818769677,5.91222009078781
"9","Syrah",2014,"BB",62.8166666666667,0.164991582276837
"10","Ugni blanc",2014,"BB",97.5112133410006,NA
"11","Cabernet-Sauvignon",2015,"BB",70.7871287128713,NA
"12","Chardonnay",2015,"BB",63.1117606171694,1.68986435700722
"13","Chasselas",2015,"BB",66.5407361975251,1.29248827664742
"14","Merlot",2015,"BB",68.5744290039239,0.129555567986886
"15","Mourvedre",2015,"BB",73.3497455163884,4.27974905875205
"16","Pinot noir",2015,"BB",64.3260010843467,NA
"17","Riesling",2015,"BB",70.255079642033,NA
"18","Sauvignon blanc",2015,"BB",73.6335291124858,4.0658414269293
"19","Syrah",2015,"BB",69.8012252339987,0.0877470635347738
"20","Ugni blanc",2015,"BB",71.5299367299367,NA
"21","Cabernet-Sauvignon",2016,"BB",84.3380984042553,NA
"22","Chardonnay",2016,"BB",66.1849315068493,NA
"23","Chasselas",2016,"BB",75.8471124238501,0.101708295428546
"24","Merlot",2016,"BB",76.2564102564102,NA
"25","Mourvedre",2016,"BB",81.9917012448133,NA
"26","Pinot noir",2016,"BB",75.02849002849,NA
"27","Riesling",2016,"BB",78.7011542941862,NA
"28","Sauvignon blanc",2016,"BB",82.8694321238102,4.07126882638708
"29","Syrah",2016,"BB",71.466565860215,3.72395315239814
"30","Ugni blanc",2016,"BB",104.946835443038,NA
"31","Cabernet-Sauvignon",2014,"FL",129.434801016088,NA
"32","Chardonnay",2014,"FL",121.338333968334,2.77657352548644
"33","Chasselas",2014,"FL",120.5,0
"34","Merlot",2014,"FL",126.011703716115,1.80303918580177
"35","Mourvedre",2014,"FL",130.73360932654,0.413739076670136
"36","Pinot noir",2014,"FL",112.142857142857,NA
"37","Riesling",2014,"FL",122.821016166282,NA
"38","Sauvignon blanc",2014,"FL",126.394421393625,0.130718932407771
"39","Syrah",2014,"FL",125.485992450522,0.143735597170981
"40","Ugni blanc",2014,"FL",140,NA
"41","Cabernet-Sauvignon",2015,"FL",117.978395933352,NA
"42","Chardonnay",2015,"FL",99.5915750915751,11.7462609988317
"43","Chasselas",2015,"FL",109.770210185934,3.91766881557125
"44","Merlot",2015,"FL",116.339933790748,1.4316400613077
"45","Mourvedre",2015,"FL",126.526917789604,4.55473970226624
"46","Pinot noir",2015,"FL",107.510990851765,NA
"47","Riesling",2015,"FL",117.875939849624,NA
"48","Sauvignon blanc",2015,"FL",126.526880324823,2.84237845750593
"49","Syrah",2015,"FL",126.018372703412,3.56151683227544
"50","Ugni blanc",2015,"FL",127.838124795818,NA
"51","Cabernet-Sauvignon",2016,"FL",126.719284101903,NA
"52","Chardonnay",2016,"FL",117.794725632674,0.0183376476700424
"53","Chasselas",2016,"FL",112.66358358088,12.0501268899238
"54","Merlot",2016,"FL",127.927153040576,2.5965364130423
"55","Mourvedre",2016,"FL",132.75645866835,1.91072882390241
"56","Pinot noir",2016,"FL",118.624701765548,NA
"57","Riesling",2016,"FL",126.293022244765,NA
"58","Sauvignon blanc",2016,"FL",134.456058393687,9.43960203510417
"59","Syrah",2016,"FL",131.406539426628,0.470465303568104
"60","Ugni blanc",2016,"FL",142.337243031908,NA
"61","Cabernet-Sauvignon",2014,"VER",197.23331531732,1.117962146291
"62","Chardonnay",2014,"VER",190,0
"63","Chasselas",2014,"VER",190.702157062664,0.058180906484109
"64","Merlot",2014,"VER",194.632472847039,1.42987075797362
"65","Mourvedre",2014,"VER",197.158648073334,0.410894444562754
"66","Pinot noir",2014,"VER",189.334673604541,NA
"67","Riesling",2014,"VER",192,NA
"68","Sauvignon blanc",2014,"VER",190.743297176174,0
"69","Syrah",2014,"VER",190.8638007617,1.70853133254676
"70","Ugni blanc",2014,"VER",201.692307692308,NA
"71","Cabernet-Sauvignon",2015,"VER",202.946578003586,NA
"72","Chardonnay",2015,"VER",194.247486032723,1.80581970516222
"73","Chasselas",2015,"VER",187.012309062205,2.13740558512869
"74","Merlot",2015,"VER",193.982140421675,2.90835758736126
"75","Mourvedre",2015,"VER",206.599720380047,4.13463698769989
"76","Pinot noir",2015,"VER",187.315066109951,NA
"77","Riesling",2015,"VER",202.471527619914,NA
"78","Sauvignon blanc",2015,"VER",190.487548303993,0.142392906988595
"79","Syrah",2015,"VER",192.760444373399,0.0573812437357947
"80","Ugni blanc",2015,"VER",206.156769735301,NA
"81","Cabernet-Sauvignon",2016,"VER",195.447731646962,NA
"82","Chardonnay",2016,"VER",184.986993528643,0.471141535706921
"83","Chasselas",2016,"VER",187.250272307349,4.25722512946998
"84","Merlot",2016,"VER",192.081422740416,1.52777398400807
"85","Mourvedre",2016,"VER",197.70486452075,2.75268761549253
"86","Pinot noir",2016,"VER",186.130194044496,NA
"87","Riesling",2016,"VER",197.9993970637,NA
"88","Sauvignon blanc",2016,"VER",190.735071246043,1.48500337355128
"89","Syrah",2016,"VER",190.535534034282,1.21667222636144
"90","Ugni blanc",2016,"VER",203.273111091565,NA
