"variety","event","doy.2015"
"Aleatico","bb",69.1261072711389
"Alicante Bouschet","bb",63.4397724032455
"Aligote","bb",65.1594787307429
"Arneis","bb",68.9776856874958
"Auxerrois","bb",66.2397156875304
"Biancello","bb",68.1800833236521
"Blush Seedless","bb",72.0395206251322
"Cabernet franc","bb",67.4657464948488
"Calzin","bb",74.9663087088136
"Carignane","bb",65.6060454348592
"Carmenere","bb",68.8657118106204
"Carnelian","bb",70.8147885927118
"Castelao","bb",68.2077200005411
"Centurion","bb",69.349218999689
"Chasselas doree","bb",66.5407361975251
"Cinsault","bb",70.478237543432
"Coda di Volpe","bb",70.570158196896
"Cot","bb",66.5814646242453
"Counoise","bb",70.8730972945906
"Dawn Seedless","bb",70.2291321262056
"Dolcetto","bb",71.9317115274428
"Emerald Reisling","bb",69.6704361765545
"Erbaluce","bb",70.2254847085669
"Flora","bb",69.248727781411
"Folle blance","bb",70.8456665362747
"Furmint","bb",69.9249972798531
"Gewurztraminer","bb",67.7813058194627
"Gold","bb",70.0837670212441
"Graciano","bb",74.057481799641
"Grignolino","bb",68.5425114367592
"Gruner Veltiner","bb",70.1225075460762
"Juan Garcia","bb",73.7567836584542
"July Muscat","bb",67.7073389779556
"Macabeo","bb",71.1726159745269
"Marsanne","bb",68.3500059010086
"Melon","bb",66.5663369290187
"Merlot","bb",68.5744290039239
"Morrastel","bb",73.9028364485601
"Muscadelle du Bordelais","bb",63.1409540719066
"Negrette","bb",69.6330945717247
"Negro Amaro","bb",73.989126484502
"Palomino","bb",70.6900519904181
"Periquita","bb",68.593980246599
"Petit Manseng","bb",64.7749836324985
"Picolit","bb",68.996058399363
"Queen","bb",70.1534918246635
"Refosco","bb",68.9971482621637
"Ribolla gialla","bb",69.8486422270365
"Rkatsiteli","bb",68.9744388648753
"Ruby Seedless","bb",71.1191998606868
"Sauvignon blanc","bb",73.6335291124858
"Sauvignon gris","bb",68.4052388189229
"Sauvignon vert","bb",67.1886585123617
"Schiopettino","bb",69.5716437586329
"Suavis","bb",67.7715696778888
"Syrah","bb",69.8012252339987
"Szagos feher","bb",69.1058689373061
"Tannat","bb",67.1871636641108
"Tempranillo","bb",70.0635503159533
"Thompson Seedless","bb",69.3123272944954
"Tinta Amarella","bb",69.6219932396571
"Tinta Cao","bb",67.2299150534199
