order.recorded,experiment,paper,application.date,measurement.date,dwe.Mg.ha.emp,dwe.Mg.ha.est,amendment.tilled.in,amendment.cat.agg,amendment.cat.det,amendment.CtoN.emp,amendment.CtoN.est,amendment.orgC.emp,amendment.orgC.est,amendment.totN.emp,amendment.totN.est,amendment.nh4.emp,amendment.nh4.est,amendment.no3.emp,amendment.no3.est,amendment.availP.emp,amendment.availP.est,amendment.totP.emp,amendment.totP.est,amendment.availK.emp,amendment.availK.est,amendment.totK.emp,amendment.totK.est,amendment.Fe.emp,amendment.Fe.est,amendment.Pb.emp,amendment.Pb.units,amendment.Pb.total,MAP.emp,MAP.est,MAT.emp,MAT.est,clim.class,site.soil.orgC,site.soil.totN,site.soil.availP,site.soil.availK,site.soil.pH,site.soil.perc.sand,site.soil.perc.silt,site.soil.perc.clay,site.soil.bulk.dens,site.plant.comm,vegetation.planted,amendment.in.planting.holes,grazed.or.cut,soil.sample.depth,soilC.con.mean,soilC.con.SD,soilC.con.letter,soilC.con.N,soilC.trt.mean,soilC.trt.SD,soilC.trt.letter,soilC.trt.N,soilC.trt.minus.con.paired.mean,soilC.trt.minus.con.paired.SD,soilC.trt.minus.con.paired.N,soilC.reported.comp.sig,soilC.comp.pval,soilC.LSD,soilC.analysis.Fval,soilC.analysis.pval,soilC.notes.analysis.LSD.F.p,soilC.units,soiltotN.con.mean,soiltotN.con.SD,soiltotN.con.letter,soiltotN.con.N,soiltotN.trt.mean,soiltotN.trt.SD,soiltotN.trt.letter,soiltotN.trt.N,soiltotN.trt.minus.con.paired.mean,soiltotN.trt.minus.con.paired.SD,soiltotN.trt.minus.con.paired.N,soiltotN.reported.comp.sig,soiltotN.comp.pval,soiltotN.LSD,soiltotN.analysis.Fval,soiltotN.analysis.pval,soiltotN.notes.analysis.LSD.F.p,soiltotN.units,soilNH4.con.mean,soilNH4.con.SD,soilNH4.con.letter,soilNH4.con.N,soilNH4.trt.mean,soilNH4.trt.SD,soilNH4.trt.letter,soilNH4.trt.N,soilNH4.comp.pval,soilNH4.LSD,soilNH4.analysis.Fval,soilNH4.analysis.pval,soilNH4.notes.analysis.LSD.F.p,soilNH4.units,soilNO3.con.mean,soilNO3.con.SD,soilNO3.con.letter,soilNO3.con.N,soilNO3.trt.mean,soilNO3.trt.SD,soilNO3.trt.letter,soilNO3.trt.N,soilNO3.comp.pval,soilNO3.LSD,soilNO3.analysis.Fval,soilNO3.analysis.pval,soilNO3.notes.analysis.LSD.F.p,soilNO3.units,soilP.con.mean,soilP.con.SD,soilP.con.letter,soilP.con.N,soilP.trt.mean,soilP.trt.SD,soilP.trt.letter,soilP.trt.N,soilP.comp.pval,soilP.LSD,soilP.analysis.Fval,soilP.analysis.pval,soilP.notes.analysis.LSD.F.p,soilP.units,soil_moisture.con.mean,soil_moisture.con.SD,soil_moisture.con.letter,soil_moisture.con.N,soil_moisture.trt.mean,soil_moisture.trt.SD,soil_moisture.trt.letter,soil_moisture.trt.N,soil_moisture.comp.pval,soil_moisture.LSD,soil_moisture.analysis.Fval,soil_moisture.analysis.pval,soil_moisture.notes.analysis.LSD.F.p,soil_moisture.units,soilPb.con.mean,soilPb.con.SD,soilPb.con.letter,soilPb.con.N,soilPb.trt.mean,soilPb.trt.SD,soilPb.trt.letter,soilPb.trt.N,soilPb.comp.pval,soilPb.LSD,soilPb.analysis.Fval,soilPb.analysis.pval,soilPb.notes.analysis.LSD.F.p,soilPb.units,extractable.or.total,labresp.con.mean,labresp.con.SD,labresp.con.letter,labresp.con.N,labresp.trt.mean,labresp.trt.SD,labresp.trt.letter,labresp.trt.N,labresp.comp.pval,labresp.LSD,labresp.analysis.Fval,labresp.analysis.pval,labresp.notes.analysis.LSD.F.p,labresp.units,MBC.con.mean,MBC.con.SD,MBC.con.letter,MBC.con.N,MBC.trt.mean,MBC.trt.SD,MBC.trt.letter,MBC.trt.N,MBC.comp.pval,MBC.LSD,MBC.analysis.Fval,MBC.analysis.pval,MBC.notes.analysis.LSD.F.p,MBC.units,biomass.or.abundance,ANPP.con.mean,ANPP.con.SD,ANPP.con.letter,ANPP.con.N,ANPP.trt.mean,ANPP.trt.SD,ANPP.trt.letter,ANPP.trt.N,ANPP.trt.minus.con.paired.mean,ANPP.trt.minus.con.paired.SD,ANPP.trt.minus.con.paired.N,ANPP.reported.comp.sig,ANPP.comp.pval,ANPP.LSD,ANPP.analysis.Fval,ANPP.analysis.pval,ANPP.notes.analysis.LSD.F.p,ANPP.units,mass.cover.or.growth,sprich.con.mean,sprich.con.SD,sprich.con.letter,sprich.con.N,sprich.trt.mean,sprich.trt.SD,sprich.trt.letter,sprich.trt.N,sprich.reported.comp.sig,sprich.comp.pval,sprich.LSD,sprich.analysis.Fval,sprich.analysis.pval,sprich.notes.analysis.LSD.F.p,sprich.units,speven.con.mean,speven.con.SD,speven.con.letter,speven.con.N,speven.trt.mean,speven.trt.SD,speven.trt.letter,speven.trt.N,speven.reported.comp.sig,speven.comp.pval,speven.analysis.Fval,speven.analysis.pval,speven.notes.analysis.LSD.F.p,speven.units,percent_native.con.mean,percent_native.con.SD,percent_native.con.letter,percent_native.con.N,percent_native.trt.mean,percent_native.trt.SD,percent_native.trt.letter,percent_native.trt.N,percent_native.analysis.Fval,percent_native.analysis.pval,percent_native.notes.analysis.LSD.F.p,percent_native.units,percent_annual.con.mean,percent_annual.con.SD,percent_annual.con.letter,percent_annual.con.N,percent_annual.trt.mean,percent_annual.trt.SD,percent_annual.trt.letter,percent_annual.trt.N,percent_annual.analysis.Fval,percent_annual.analysis.pval,percent_annual.notes.analysis.LSD.F.p,percent_annual.units,percent_grass.con.mean,percent_grass.con.SD,percent_grass.con.letter,percent_grass.con.N,percent_grass.trt.mean,percent_grass.trt.SD,percent_grass.trt.letter,percent_grass.trt.N,percent_grass.analysis.Fval,percent_grass.analysis.pval,percent_grass.notes.analysis.LSD.F.p,percent_grass.units,plantN.con.mean,plantN.con.SD,plantN.con.letter,plantN.con.N,plantN.trt.mean,plantN.trt.SD,plantN.trt.letter,plantN.trt.N,plantN.trt.minus.con.paired.mean,plantN.trt.minus.con.paired.SD,plantN.trt.minus.con.paired.N,plantN.reported.comp.sig,plantN.comp.pval,plantN.LSD,plantN.analysis.Fval,plantN.analysis.pval,plantN.notes.analysis.LSD.F.p,plantN.units,runoffamount.con.mean,runoffamount.con.SD,runoffamount.con.letter,runoffamount.con.N,runoffamount.trt.mean,runoffamount.trt.SD,runoffamount.trt.letter,runoffamount.trt.N,runoffamount.comp.pval,runoffamount.LSD,runoffamount.SED,runoffamount.analysis.pval,runoffamount.notes.analysis.LSD.F.p,runoffamount.units,runoffN.con.mean,runoffN.con.SD,runoffN.con.letter,runoffN.con.N,runoffN.trt.mean,runoffN.trt.SD,runoffN.trt.letter,runoffN.trt.N,runoffN.comp.pval,runoffN.LSD,runoffN.SED,runoffN.analysis.pval,runoffN.notes.analysis.LSD.F.p,runoffN.units,runoffP.con.mean,runoffP.con.SD,runoffP.con.letter,runoffP.con.N,runoffP.trt.mean,runoffP.trt.SD,runoffP.trt.letter,runoffP.trt.N,runoffP.LSD,runoffP.SED,runoffP.analysis.pval,runoffP.notes.analysis.LSD.F.p,runoffP.units,plantPb.con.mean,plantPb.con.SD,plantPb.con.letter,plantPb.con.N,plantPb.trt.mean,plantPb.trt.SD,plantPb.trt.letter,plantPb.trt.N,plantPb.LSD,plantPb.analysis.Fval,plantPb.analysis.pval,plantPb.notes.analysis.LSD.F.p,plantPb.units,soilWHC.con.mean,soilWHC.con.SD,soilWHC.con.letter,soilWHC.con.N,soilWHC.trt.mean,soilWHC.trt.SD,soilWHC.trt.letter,soilWHC.trt.N,soilWHC.analysis.Fval,soilWHC.analysis.pval,soilWHC.notes.analysis.LSD.F.p,soilWHC.units,soilCO2.con.mean,soilCO2.con.SD,soilCO2.con.letter,soilCO2.con.N,soilCO2.trt.mean,soilCO2.trt.SD,soilCO2.trt.letter,soilCO2.trt.N,soilCO2.trt.minus.con.paired.mean,soilCO2.trt.minus.con.paired.SD,soilCO2.trt.minus.con.paired.N,soilCO2.reported.comp.sig,soilCO2.units,soilN2O.con.mean,soilN2O.con.SD,soilN2O.con.letter,soilN2O.con.N,soilN2O.trt.mean,soilN2O.trt.SD,soilN2O.trt.letter,soilN2O.trt.N,soilN2O.comp.pval,soilN2O.units,soilCH4.con.mean,soilCH4.con.SD,soilCH4.con.letter,soilCH4.con.N,soilCH4.trt.mean,soilCH4.trt.SD,soilCH4.trt.letter,soilCH4.trt.N,soilCH4.comp.pval,soilCH4.units
1,RYALS_SILVER.VALLEY,RyalsandSilver2013,12/15/2008,5/1/2009,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,730,730,18.5,18.5,med,28.3,2.35,NA,NA,6.44,42,42,16,1.02,grassland,none,no,yes,10,,,,,,,,,848.55,520.77,3,yes,,,,,,g C / m2,,,,,,,,,0.679,0.855,3,yes,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,17.1,,3,354.7,17.2,,3,146.76,58.88,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.3,48.5,,3,1440,42,,3,241.74,25.42,3,yes,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
2,RYALS_SILVER.COASTAL,RyalsandSilver2013,12/15/2008,5/1/2009,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,950,950,13,13,med,30.1,2.6,NA,NA,5.92,43,40,16,0.97,grassland,none,no,yes,10,,,,,,,,,116.93,352.97,3,no,,,,,,g C / m2,,,,,,,,,0.133,0.293,3,no,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.7,27.9,,3,155.7,64.4,,3,47.48,56.07,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,151,,3,1206,239.9,,3,146.33,77.86,3,yes,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
3,RYALS_SILVER.VALLEY,RyalsandSilver2013,12/15/2008,5/1/2010,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,730,730,18.5,18.5,med,28.3,2.35,NA,NA,6.44,42,42,16,1.02,grassland,none,no,yes,10,,,,,,,,,584.63,289.32,3,yes,,,,,,g C / m2,,,,,,,,,0.617,0.26,3,yes,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,16.5,,3,332,37.2,,3,116.55,67.29,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.3,226.6,,3,1702.3,94.1,,3,164.68,322.57,3,no,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
4,RYALS_SILVER.COASTAL,RyalsandSilver2013,12/15/2008,5/1/2010,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,950,950,13,13,med,30.1,2.6,NA,NA,5.92,43,40,16,0.97,grassland,none,no,yes,10,,,,,,,,,20.04,341.4,3,no,,,,,,g C / m2,,,,,,,,,0.117,0.266,3,no,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,94.6,,3,279.3,126.9,,3,58.27,97.19,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,388.2,,3,2248.3,83.6,,3,255.5,244.71,3,no,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
5,RYALS_SILVER.VALLEY,RyalsandSilver2013,12/15/2008,5/1/2011,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,730,730,18.5,18.5,med,28.3,2.35,NA,NA,6.44,42,42,16,1.02,grassland,none,no,yes,10,,,,,,,,,207.13,422.4,3,yes,,,,,,g C / m2,,,,,,,,,0.55,0.462,3,yes,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3,26,,3,341,65.2,,3,173.74,76.63,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,60.9,,3,1291.3,142.8,,3,205.96,68.33,3,yes,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
6,RYALS_SILVER.COASTAL,RyalsandSilver2013,12/15/2008,5/1/2011,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,950,950,13,13,med,30.1,2.6,NA,NA,5.92,43,40,16,0.97,grassland,none,no,yes,10,,,,,,,,,193.76,289.32,3,no,,,,,,g C / m2,,,,,,,,,0.205,0.288,3,no,,,,,,Mg N / ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3,53.6,,3,196.3,68.6,,3,56.12,76.63,3,yes,,,,,,g C_/_m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.7,230.6,,3,1867,89.1,,3,242.66,114.41,3,yes,g C_/_m2 / year,,,,,,,,,,,,,,,,,,,,
7,RYALS_SILVER.VALLEY,Ryalsetal2014,12/15/2008,5/1/2009,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,730,730,18.5,18.5,med,28.3,2.35,NA,NA,6.44,42,42,16,1.02,grassland,none,no,yes,10,3.55,0.61,,3,3.92,0.17,,3,,,,,,,,,,% C,0.28,0.05,,3,0.32,0.02,,3,,,,,,,,,,% N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RYALS_SILVER.COASTAL,Ryalsetal2014,12/15/2008,5/1/2009,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,950,950,13,13,med,30.1,2.6,NA,NA,5.92,43,40,16,0.97,grassland,none,no,yes,10,2.75,1.09,,3,2.95,0.94,,3,,,,,,,,,,% C,0.23,0.09,,3,0.25,0.07,,3,,,,,,,,,,% N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RYALS_SILVER.VALLEY,Ryalsetal2014,12/15/2008,5/1/2010,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,730,730,18.5,18.5,med,28.3,2.35,NA,NA,6.44,42,42,16,1.02,grassland,none,no,yes,10,2.43,0.31,,3,2.9,0.33,,3,,,,,,,,,,% C,0.19,0.02,,3,0.24,0.03,,3,,,,,,,,,,% N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RYALS_SILVER.COASTAL,Ryalsetal2014,12/15/2008,5/1/2010,70,70,no,compost,compost.greenwaste,11,11,202.9,202.9,18.7,18.7,NA,0.273,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,950,950,13,13,med,30.1,2.6,NA,NA,5.92,43,40,16,0.97,grassland,none,no,yes,10,2.55,1.23,,3,2.6,0.95,,3,,,,,,,,,,% C,0.22,0.1,,3,0.23,0.09,,3,,,,,,,,,,% N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
